40583,237054747,6,6510897,1579,124579593,497
64452,145441492,37,337247428,102,99069982,124
34101,75902145,11,9574979,59,769929229,223
123972,42094160,128,165893236,75,379271076,51
119138,99576556,147,324555642,478,1019305376,727
145923,503469835,52,680475009,864,924762037,405
69700,23778370,75,455318934,758,184209744,74
1020056,361154190,14,1107123570,820,488570522,304
57472,229852490,64,708502070,172,49148010,203
487284,74820466,99,389708530,1020,48510750,54
501752,785636050,136,1244964038,727,2862462,465
23170,13925316,1,62735844,263,156494682,7
353686,89720790,171,284817394,853,400172956,492
184158,47497318,300,82085082,880,72416238,202
87975,304290761,175,215553091,679,517928183,110
109252,393998,109,106729262,2817,164711780,47
141335,1562077091,169,1048765203,2000,512653901,1063
85948,120089230,638,342247168,301,70743674,56
23243,91543189,245,645834739,79,63220369,101
75047,395370947,602,721881187,1074,36274079,525
232171,64028247,370,442508929,321,148112001,363
409734,515702284,63,706315894,1256,278752380,118
27648,459511860,44,608852100,169,492688444,228
238197,23478345,149,103608351,314,99964193,5
1018153,1395026989,164,432540435,1,9892441,401
489025,767524347,189,46414533,13,393049743,51
2251,116973545,23,564585473,188,1049341299,203
139933,80628437,8,57280987,355,15269843,3
397548,14844850,82,295702906,95,64849606,130
129088,71320406,56,327199592,61,364484838,25
68369,444076451,301,641881879,332,426281951,41
359414,489225364,24,238237536,799,764204832,36
65022,355831054,138,11795970,592,1299860526,52
20113,470369349,309,362734633,199,397059757,209
343437,163337203,57,7620623,131,18013885,429
1067727,584213255,390,451536507,73,124104777,503
2098494,27073796,117,691343306,184,28601532,156
108229,109336821,122,391262315,1646,128453075,166
552544,688714784,250,118532644,35,308618536,211
43127,78240601,173,1422343791,566,830835031,15
37021,172424469,32,124885749,65,61764297,763
490882,94681036,243,894456138,79,134435168,0
2689212,97993512,176,540120326,544,99143256,79
93382,175720638,292,69044350,351,24624112,295
227122,269221934,486,135102486,486,72850852,315
20442,470835600,122,100211066,304,91298468,128
469164,346313140,444,125906584,1358,170345514,171
87421,108701755,24,979746987,125,125751169,89
96108,596023138,358,111838620,1248,369319556,140
167323,101628805,140,169649885,1380,365236231,94
821423,14436423,36,1146807185,341,134896083,849
47494,133051466,468,661561144,132,20723136,826
446117,137434029,452,155363173,931,1095114559,131
12675,130808167,311,204591535,69,129481669,65
47525,103886779,58,304000977,2355,358873421,77
39924,9409020,112,871543396,374,870028596,34
136015,25441613,308,464171697,979,514262411,762
24020,553611600,153,278845052,89,922677216,416
373658,925778910,37,283334674,165,471891948,208
562118,254918348,332,25705590,1544,292229398,350
8695,38610813,162,1213072263,9,52547633,425
87351,273541489,1,54003821,443,106227383,145
150090,449471766,364,118731486,355,362337584,58
764964,453753172,49,325992826,2310,174143676,22
200768,400170846,67,225532610,275,289935394,102
64782,271598568,121,585135620,744,485330922,14
146365,370096385,25,310400335,79,212929361,289
5777,192743561,687,1276590963,44,1138067919,295
103366,100348426,84,106427608,68,538280986,134
233314,803762124,140,159746712,376,57396928,88
48045,129299833,41,1259085785,185,257991973,23
43394,51256636,16,162843736,1832,287942630,12
181425,148004193,303,503465473,451,40347497,330
317664,57577922,188,38189638,704,153524652,66
40083,2702925,565,46941845,251,72693143,189
873431,48555475,233,916409233,143,115142517,115
284318,377634790,371,624215588,280,578502948,177
252426,39619004,7,243751088,70,445854426,78
173855,295083207,189,271080751,506,31601647,101
602074,206450440,1192,382127278,1294,242373380,26
439615,49796089,93,400663711,938,53063283,5
113706,88481974,16,202724598,4,222679650,8
84304,283684712,87,558932736,978,72666710,70
8679,138066913,11,127693183,1083,290499943,45
77848,138306688,2,196905046,546,133722604,240
138617,69698223,77,1403683745,1021,9370885,15
587984,196793148,52,185230912,790,21060174,66
905950,45445280,148,99712330,106,596410552,146
596780,331413006,250,203094010,2560,114536752,214
109061,46338651,279,60435949,739,127369495,747
1911,193460107,305,52860721,626,108648825,209
1149294,116887742,24,275254540,2342,54438764,20
59666,884113088,781,91923512,1227,273737434,176
152649,135768357,227,386826979,227,317605415,145
35519,232465629,51,1127574451,917,916174651,128
82022,254352750,91,204416282,369,26059754,276
220672,90158402,127,811319868,172,257134364,642
409122,344126446,127,201392658,1038,270849980,93
542468,118721570,134,46325682,1968,81930162,8
2065695,327104943,23,484879305,307,384971149,405

86,54609,741079,2579,688065,5315,712527
